Date,portfolio_value
2024-11-18,12398.136265932642
2024-11-19,12533.239446060588
2024-11-20,12662.339570375281
2024-11-21,12926.720760438897
2024-11-22,13003.45660878341
2024-11-25,13363.081495628994
2024-11-26,13229.692633887267
2024-11-27,13101.925518310347
2024-11-29,13148.811666941356
2024-12-02,13247.049237607833
2024-12-03,13269.693421961434
2024-12-04,13234.412649971286
2024-12-05,13076.791299543356
2024-12-06,13234.56285997956
2024-12-09,13231.182296615478
2024-12-10,13100.467960407192
2024-12-11,13283.907734658602
2024-12-12,13104.51150845328
2024-12-13,13231.002665718872
2024-12-16,13455.088259698628
2024-12-17,13352.636938125679
2024-12-18,12683.145980685422
2024-12-19,12432.790174818938
2024-12-20,12631.090653491185
2024-12-23,12680.035315418974
2024-12-24,12741.189767641392
2024-12-26,12738.855787238697
2024-12-27,12606.920194548
2024-12-30,12601.557651457073
2024-12-31,12516.522088741765
2025-01-02,12612.800558499848
2025-01-03,12843.554497291227
2025-01-06,13138.749848196147
2025-01-07,12869.417629806434
2025-01-08,12811.371105202885
2025-01-13,12777.452349116013
2025-01-14,12790.815191086547
2025-01-15,13120.289181352622
2025-01-16,13161.658971156392
2025-01-17,13341.595785860527
2025-01-21,13570.710762693168
2025-01-22,13569.311969009568
2025-01-23,13649.250639558919
2025-01-24,13633.199188070701
2025-01-27,13305.645815697562
2025-01-28,13520.323569254459
2025-01-29,13448.609896177635
2025-01-30,13585.779466960717
2025-01-31,13351.8291481088
2025-02-03,13091.013129760573
2025-02-04,13296.17036309596
2025-02-05,13405.112665343668
2025-02-06,13449.729546813822
2025-02-07,13202.963201755185
2025-02-10,13360.350973093951
2025-02-11,13297.071047400868
2025-02-12,13339.53694346778
2025-02-13,13412.755063825434
2025-02-14,13795.878351466607
2025-02-18,13965.97365520324
2025-02-19,13661.271592529183
2025-02-20,13487.358528767298
2025-02-21,12956.730456113528
2025-02-24,12864.366979987544
2025-02-25,12872.86967133199
2025-02-26,12938.105428747891
2025-02-27,12525.542811544545
2025-02-28,12537.574004561146
2025-03-03,11955.902552944595
2025-03-04,11710.261866455703
2025-03-05,11931.18631494151
2025-03-06,11498.928294579897
2025-03-07,11722.475319403537
2025-03-10,11373.351112960208
2025-03-11,11398.524096770383
2025-03-12,11569.78744281893
2025-03-13,11245.588642908599
2025-03-14,11609.79641984281
2025-03-17,11734.749254178532
2025-03-18,11493.782318020667
2025-03-19,11698.006656966318
2025-03-20,11688.01975324874
2025-03-21,11702.47000968331
2025-03-24,12151.902196706375
2025-03-25,12161.633268789146
2025-03-26,11892.332267885095
2025-03-27,11739.582749352365
2025-03-28,11424.459347114327
2025-03-31,11304.267883505157
2025-04-01,11475.322996677645
2025-04-02,11691.666768160887
2025-04-03,10460.338675379451
2025-04-04,9927.564024966661
2025-04-07,10084.093490452182
2025-04-08,9714.823044872875
2025-04-09,11091.71236676473
2025-04-10,10441.033088490261
2025-04-11,10652.557263155504
2025-04-14,10740.60363359212
2025-04-15,10696.763519260789
2025-04-16,10417.257282843797
2025-04-17,10549.937362759603
2025-04-21,10274.124469075194
2025-04-22,10671.816835486168
2025-04-23,10966.013194315805
2025-04-24,11315.94091396612
2025-04-25,11466.894172195674
2025-04-28,11496.3747981449
2025-04-29,11498.311883164311
2025-04-30,11423.32981414526
2025-05-01,11499.580169525461
2025-05-02,11987.881555877497
2025-05-05,11875.935445901881
2025-05-06,11836.255701146893
2025-05-07,11883.817778281904
2025-05-08,12244.007901238858
2025-05-09,12255.356884719682
2025-05-12,12987.49406145072
2025-05-13,13190.738887241423
2025-05-14,13258.326289972667
2025-05-15,13350.206345639577
2025-05-16,13478.748118132833
2025-05-19,13412.763435271952
2025-05-20,13344.99156999134
2025-05-21,13015.547527890536
2025-05-22,13050.096044500031
2025-05-23,12940.031127291793
2025-05-27,13457.941055810803
2025-05-28,13484.961611227804
2025-05-29,13627.187819493618
2025-05-30,13575.157026254143
2025-06-02,13765.530826122991
2025-06-03,14032.159898738457
2025-06-04,14179.805454199375
2025-06-05,14252.5213112123
2025-06-06,14329.770360429075
2025-06-09,14389.564206860452
2025-06-10,14382.698796447983
2025-06-11,14196.295341837616
2025-06-12,14185.97176638859
2025-06-13,13932.16527154558
2025-06-16,14105.265458364145
2025-06-17,14056.273893004456
2025-06-18,14160.854201683022
2025-06-20,14345.422435592804
2025-06-23,14384.043497174522
2025-06-24,14496.22679360588
2025-06-25,14423.715391812117
2025-06-26,14477.923656617622
2025-06-27,14642.3638105899
2025-06-30,14578.087873089144
2025-07-01,14609.792198606492
2025-07-02,14847.997970864284
2025-07-03,14947.692178724463
